id,bathrooms,bedrooms,currency,fee,has_photo,pets_allowed,price,price_type,square_feet,cityname,state,latitude,longitude,time
5668640009,1,1,USD,No,Thumbnail,Cats,2195,Monthly,542,Redondo Beach,CA,33.8520,-118.3759,1577360355
5668639818,1.5,3,USD,No,Thumbnail,Cats+Dogs,1250,Monthly,1500,Newport News,VA,37.0867,-76.4941,1577360340
5668639686,2,3,USD,No,Thumbnail,None,1395,Monthly,1650,Raleigh,NC,35.8230,-78.6438,1577360332
5668639659,1,2,USD,No,Thumbnail,Cats+Dogs,1600,Monthly,820,Vacaville,CA,38.3622,-121.9712,1577360330
5668639374,1,1,USD,No,Thumbnail,Cats+Dogs,975,Monthly,624,Albuquerque,NM,35.1038,-106.6110,1577360308
5668639368,1.5,2,USD,No,Thumbnail,Cats+Dogs,1250,Monthly,965,Albuquerque,NM,35.1038,-106.6110,1577360308
5668638765,2,2,USD,No,Thumbnail,None,1600,Monthly,1120,Hampton,VA,37.0451,-76.3664,1577360261
5668638578,2,2,USD,No,Thumbnail,Cats+Dogs,1300,Monthly,947,Lakewood,CO,39.6894,-105.1119,1577360247
5668638476,1,2,USD,No,Thumbnail,Dogs,795,Monthly,600,Charleston,WV,38.3454,-81.6219,1577360239
5668638122,2,2,USD,No,Thumbnail,None,2150,Monthly,1005,Chatsworth,CA,34.2551,-118.5976,1577360204
5668638015,2.5,3,USD,No,Thumbnail,None,1795,Monthly,1522,Alpharetta,GA,34.0718,-84.2525,1577360196
5668637998,3,2,USD,No,Thumbnail,None,3195,Monthly,3077,Marblehead,MA,42.4982,-70.8647,1577360194
5668637809,2,2,USD,No,Thumbnail,None,2395,Monthly,896,Washington,DC,38.9118,-77.0132,1577360182
5668637541,3.5,4,USD,No,Thumbnail,None,7800,Monthly,4650,Scottsdale,AZ,33.5783,-111.8902,1577360165
5668637528,1,3,USD,No,Thumbnail,None,720,Monthly,800,Ames,IA,42.0259,-93.6516,1577360164
5668636381,1.5,2,USD,No,Thumbnail,Cats+Dogs,2000,Monthly,872,Kirkland,WA,47.7046,-122.1989,1577360105
5668636291,1,1,USD,No,Thumbnail,Cats+Dogs,729,Monthly,800,San Antonio,TX,29.4624,-98.5253,1577360099
5668635018,1,1,USD,No,Thumbnail,Cats+Dogs,1045,Monthly,700,Villa Park,IL,41.8787,-87.9798,1577360021
5668634255,3,3,USD,No,Thumbnail,Cats+Dogs,1800,Monthly,1500,Oxford,MS,34.3504,-89.5190,1577359971
5668633909,1,2,USD,No,Thumbnail,Cats+Dogs,1250,Monthly,435,Portland,OR,45.5091,-122.6449,1577359943
5668632975,1,0,USD,No,Thumbnail,Cats+Dogs,1099,Monthly,290,Portland,OR,45.5091,-122.6449,1577359880
5668632369,1,1,USD,No,Thumbnail,None,1060,Monthly,650,Austin,TX,30.3054,-97.7497,1577359827
5668632002,1,1,USD,No,Thumbnail,None,1003,Monthly,797,Round Rock,TX,30.5118,-97.6873,1577359796
5668631854,1,1,USD,No,Thumbnail,None,837,Monthly,444,Austin,TX,30.3054,-97.7497,1577359784
5668631790,1,1,USD,No,Thumbnail,None,1020,Monthly,692,Austin,TX,30.3054,-97.7497,1577359778
5668631784,1,1,USD,No,Thumbnail,None,985,Monthly,693,Austin,TX,30.3054,-97.7497,1577359777
5668631302,1,1,USD,No,Thumbnail,None,1581,Monthly,703,Austin,TX,30.3054,-97.7497,1577359749
5668630952,1,1,USD,No,Thumbnail,None,1090,Monthly,665,Georgetown,TX,30.6505,-97.6809,1577359728
5668630836,2.5,3,USD,No,Thumbnail,Cats+Dogs,3250,Monthly,1525,Ladera Ranch,CA,33.5585,-117.6695,1577359722
5668630485,1,1,USD,No,Thumbnail,None,962,Monthly,532,Austin,TX,30.3054,-97.7497,1577359700
5668630356,2,2,USD,No,Thumbnail,Cats+Dogs,1740,Monthly,1600,West Palm Beach,FL,26.7173,-80.1164,1577359690
5668630131,1,1,USD,No,Thumbnail,None,1722,Monthly,453,Austin,TX,30.3054,-97.7497,1577359671
5668630089,1,1,USD,No,Thumbnail,None,840,Monthly,540,Round Rock,TX,30.5118,-97.6873,1577359669
5668629888,2,2,USD,No,Thumbnail,Cats+Dogs,1590,Monthly,1000,Kansas City,MO,39.0744,-94.5521,1577359654
5668629745,1,1,USD,No,Thumbnail,Cats+Dogs,975,Monthly,615,San Antonio,TX,29.4624,-98.5253,1577359643
5668628689,1,0,USD,No,Thumbnail,Cats+Dogs,895,Monthly,430,Pittsburgh,PA,40.4448,-79.9725,1577359563
5668628058,2.5,3,USD,No,Thumbnail,Cats+Dogs,1695,Monthly,1550,Urbandale,IA,41.6251,-93.7375,1577359518
5668627517,1,1,USD,No,Thumbnail,Cats+Dogs,975,Monthly,650,San Antonio,TX,29.4624,-98.5253,1577359469
5668627160,2,5,USD,No,Thumbnail,None,4500,Monthly,2050,Allston,MA,42.3584,-71.1318,1577359435
5668627095,2.5,3,USD,No,Thumbnail,None,3990,Monthly,1739,San Jose,CA,37.3108,-121.8645,1577359430
5668627084,1,1,USD,No,Thumbnail,None,2300,Monthly,668,Oakland,CA,37.7904,-122.2151,1577359429
5668627015,1,2,USD,No,Thumbnail,None,2550,Monthly,860,Oakland,CA,37.7904,-122.2151,1577359423
5668626906,3,4,USD,No,Thumbnail,None,4950,Monthly,3350,Mission Viejo,CA,33.6042,-117.6526,1577359415
5668626824,1.5,2,USD,No,Thumbnail,Cats+Dogs,4950,Monthly,1200,Berkeley,CA,37.8726,-122.2707,1577359409
5668625752,1,2,USD,No,Thumbnail,None,1225,Monthly,720,Madison,WI,43.0724,-89.4003,1577359335
5668625536,1,1,USD,No,Thumbnail,Cats+Dogs,1025,Monthly,616,Windsor,WI,43.2128,-89.3435,1577359321
5668625042,2,2,USD,No,Thumbnail,Cats+Dogs,2548,Monthly,1391,Sherman Oaks,CA,34.1542,-118.4447,1577359288
5668624921,2,3,USD,No,Thumbnail,Cats+Dogs,1299,Monthly,1119,Concord,NC,35.4047,-80.6098,1577359279
5668624600,1,2,USD,No,Thumbnail,Cats+Dogs,1549,Monthly,431,Arlington,VA,38.8738,-77.1055,1577359252
5668624330,1,2,USD,No,Thumbnail,Cats+Dogs,1905,Monthly,900,Alexandria,VA,38.7999,-77.1072,1577359232
